Categoría de gráfica,area,bounding_box,centroid,convex_area,convex_image,coordinates,eccentricity,equivalent_diameter,euler_number,extent,filled_area,filled_image,major_axis_length,minor_axis_length,orientation,perimeter,solidity,circularity,convexity,intensity
Triángulo,6693.0,"(86, 1466, 155, 1563)","(120.0, 1514.0)",6693.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[  86 1466]
 [  86 1467]
 [  86 1468]
 ...
 [ 154 1560]
 [ 154 1561]
 [ 154 1562]]",0.7028852104345482,92.31355411266779,1,1.0,6693.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",112.0,79.66596931354484,1.5707963267948966,328.0,1.0,0.7817772022039146,1.0,
Triángulo,6000.0,"(181, 2190, 281, 2250)","(230.5, 2219.5)",6000.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[ 181 2190]
 [ 181 2191]
 [ 181 2192]
 ...
 [ 280 2247]
 [ 280 2248]
 [ 280 2249]]",0.80004000300025,87.40387444736633,1,1.0,6000.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",115.46428019088847,69.2724091299463,0.0,316.0,1.0,0.7550695369948229,1.0,
Triángulo,7614.0,"(269, 1035, 363, 1116)","(315.5, 1075.0)",7614.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[ 269 1035]
 [ 269 1036]
 [ 269 1037]
 ...
 [ 362 1113]
 [ 362 1114]
 [ 362 1115]]",0.5074431841818442,98.46037727742835,1,1.0,7614.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",108.53570840972108,93.52361555600096,0.0,346.0,1.0,0.7992277210876636,1.0,
Rectángulo,3404.0,"(436, 1427, 473, 1519)","(454.0, 1472.5)",3404.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[ 436 1427]
 [ 436 1428]
 [ 436 1429]
 ...
 [ 472 1516]
 [ 472 1517]
 [ 472 1518]]",0.9156173836236962,65.83393813435814,1,1.0,3404.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",106.22617379911601,42.708313008125245,1.5707963267948966,254.0,1.0,0.6630281724111635,1.0,
Rectángulo,294.0,"(501, 2316, 515, 2337)","(507.5, 2326.0)",294.0,"[[ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]]","[[ 501 2316]
 [ 501 2317]
 [ 501 2318]
 [ 501 2319]
 [ 501 2320]
 [ 501 2321]
 [ 501 2322]
 [ 501 2323]
 [ 501 2324]
 [ 501 2325]
 [ 501 2326]
 [ 501 2327]
 [ 501 2328]
 [ 501 2329]
 [ 501 2330]
 [ 501 2331]
 [ 501 2332]
 [ 501 2333]
 [ 501 2334]
 [ 501 2335]
 [ 501 2336]
 [ 502 2316]
 [ 502 2317]
 [ 502 2318]
 [ 502 2319]
 [ 502 2320]
 [ 502 2321]
 [ 502 2322]
 [ 502 2323]
 [ 502 2324]
 [ 502 2325]
 [ 502 2326]
 [ 502 2327]
 [ 502 2328]
 [ 502 2329]
 [ 502 2330]
 [ 502 2331]
 [ 502 2332]
 [ 502 2333]
 [ 502 2334]
 [ 502 2335]
 [ 502 2336]
 [ 503 2316]
 [ 503 2317]
 [ 503 2318]
 [ 503 2319]
 [ 503 2320]
 [ 503 2321]
 [ 503 2322]
 [ 503 2323]
 [ 503 2324]
 [ 503 2325]
 [ 503 2326]
 [ 503 2327]
 [ 503 2328]
 [ 503 2329]
 [ 503 2330]
 [ 503 2331]
 [ 503 2332]
 [ 503 2333]
 [ 503 2334]
 [ 503 2335]
 [ 503 2336]
 [ 504 2316]
 [ 504 2317]
 [ 504 2318]
 [ 504 2319]
 [ 504 2320]
 [ 504 2321]
 [ 504 2322]
 [ 504 2323]
 [ 504 2324]
 [ 504 2325]
 [ 504 2326]
 [ 504 2327]
 [ 504 2328]
 [ 504 2329]
 [ 504 2330]
 [ 504 2331]
 [ 504 2332]
 [ 504 2333]
 [ 504 2334]
 [ 504 2335]
 [ 504 2336]
 [ 505 2316]
 [ 505 2317]
 [ 505 2318]
 [ 505 2319]
 [ 505 2320]
 [ 505 2321]
 [ 505 2322]
 [ 505 2323]
 [ 505 2324]
 [ 505 2325]
 [ 505 2326]
 [ 505 2327]
 [ 505 2328]
 [ 505 2329]
 [ 505 2330]
 [ 505 2331]
 [ 505 2332]
 [ 505 2333]
 [ 505 2334]
 [ 505 2335]
 [ 505 2336]
 [ 506 2316]
 [ 506 2317]
 [ 506 2318]
 [ 506 2319]
 [ 506 2320]
 [ 506 2321]
 [ 506 2322]
 [ 506 2323]
 [ 506 2324]
 [ 506 2325]
 [ 506 2326]
 [ 506 2327]
 [ 506 2328]
 [ 506 2329]
 [ 506 2330]
 [ 506 2331]
 [ 506 2332]
 [ 506 2333]
 [ 506 2334]
 [ 506 2335]
 [ 506 2336]
 [ 507 2316]
 [ 507 2317]
 [ 507 2318]
 [ 507 2319]
 [ 507 2320]
 [ 507 2321]
 [ 507 2322]
 [ 507 2323]
 [ 507 2324]
 [ 507 2325]
 [ 507 2326]
 [ 507 2327]
 [ 507 2328]
 [ 507 2329]
 [ 507 2330]
 [ 507 2331]
 [ 507 2332]
 [ 507 2333]
 [ 507 2334]
 [ 507 2335]
 [ 507 2336]
 [ 508 2316]
 [ 508 2317]
 [ 508 2318]
 [ 508 2319]
 [ 508 2320]
 [ 508 2321]
 [ 508 2322]
 [ 508 2323]
 [ 508 2324]
 [ 508 2325]
 [ 508 2326]
 [ 508 2327]
 [ 508 2328]
 [ 508 2329]
 [ 508 2330]
 [ 508 2331]
 [ 508 2332]
 [ 508 2333]
 [ 508 2334]
 [ 508 2335]
 [ 508 2336]
 [ 509 2316]
 [ 509 2317]
 [ 509 2318]
 [ 509 2319]
 [ 509 2320]
 [ 509 2321]
 [ 509 2322]
 [ 509 2323]
 [ 509 2324]
 [ 509 2325]
 [ 509 2326]
 [ 509 2327]
 [ 509 2328]
 [ 509 2329]
 [ 509 2330]
 [ 509 2331]
 [ 509 2332]
 [ 509 2333]
 [ 509 2334]
 [ 509 2335]
 [ 509 2336]
 [ 510 2316]
 [ 510 2317]
 [ 510 2318]
 [ 510 2319]
 [ 510 2320]
 [ 510 2321]
 [ 510 2322]
 [ 510 2323]
 [ 510 2324]
 [ 510 2325]
 [ 510 2326]
 [ 510 2327]
 [ 510 2328]
 [ 510 2329]
 [ 510 2330]
 [ 510 2331]
 [ 510 2332]
 [ 510 2333]
 [ 510 2334]
 [ 510 2335]
 [ 510 2336]
 [ 511 2316]
 [ 511 2317]
 [ 511 2318]
 [ 511 2319]
 [ 511 2320]
 [ 511 2321]
 [ 511 2322]
 [ 511 2323]
 [ 511 2324]
 [ 511 2325]
 [ 511 2326]
 [ 511 2327]
 [ 511 2328]
 [ 511 2329]
 [ 511 2330]
 [ 511 2331]
 [ 511 2332]
 [ 511 2333]
 [ 511 2334]
 [ 511 2335]
 [ 511 2336]
 [ 512 2316]
 [ 512 2317]
 [ 512 2318]
 [ 512 2319]
 [ 512 2320]
 [ 512 2321]
 [ 512 2322]
 [ 512 2323]
 [ 512 2324]
 [ 512 2325]
 [ 512 2326]
 [ 512 2327]
 [ 512 2328]
 [ 512 2329]
 [ 512 2330]
 [ 512 2331]
 [ 512 2332]
 [ 512 2333]
 [ 512 2334]
 [ 512 2335]
 [ 512 2336]
 [ 513 2316]
 [ 513 2317]
 [ 513 2318]
 [ 513 2319]
 [ 513 2320]
 [ 513 2321]
 [ 513 2322]
 [ 513 2323]
 [ 513 2324]
 [ 513 2325]
 [ 513 2326]
 [ 513 2327]
 [ 513 2328]
 [ 513 2329]
 [ 513 2330]
 [ 513 2331]
 [ 513 2332]
 [ 513 2333]
 [ 513 2334]
 [ 513 2335]
 [ 513 2336]
 [ 514 2316]
 [ 514 2317]
 [ 514 2318]
 [ 514 2319]
 [ 514 2320]
 [ 514 2321]
 [ 514 2322]
 [ 514 2323]
 [ 514 2324]
 [ 514 2325]
 [ 514 2326]
 [ 514 2327]
 [ 514 2328]
 [ 514 2329]
 [ 514 2330]
 [ 514 2331]
 [ 514 2332]
 [ 514 2333]
 [ 514 2334]
 [ 514 2335]
 [ 514 2336]]",0.7462025072446364,19.347672370394786,1,1.0,294.0,"[[ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True  True  True  True  True  True  True  True  True]]",24.221202832779934,16.1245154965971,1.5707963267948966,66.0,1.0,0.8481434712170792,1.0,
Triángulo,7719.0,"(568, 30, 651, 123)","(609.0, 76.0)",7719.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[568  30]
 [568  31]
 [568  32]
 ...
 [650 120]
 [650 121]
 [650 122]]",0.4511266603125705,99.13695600436156,1,1.0,7719.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",107.38094182240472,95.83318840568751,1.5707963267948966,348.0,1.0,0.8009629308052455,1.0,
Triángulo,1008.0,"(622, 404, 678, 422)","(649.5, 412.5)",1008.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[622 404]
 [622 405]
 [622 406]
 ...
 [677 419]
 [677 420]
 [677 421]]",0.9470848414844876,35.82492792865108,1,1.0,1008.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",64.65291950097846,20.752509888364507,0.0,144.0,1.0,0.6108652381980154,1.0,
Círculo,169.0,"(658, 791, 671, 804)","(664.0, 797.0)",169.0,"[[ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]]","[[658 791]
 [658 792]
 [658 793]
 [658 794]
 [658 795]
 [658 796]
 [658 797]
 [658 798]
 [658 799]
 [658 800]
 [658 801]
 [658 802]
 [658 803]
 [659 791]
 [659 792]
 [659 793]
 [659 794]
 [659 795]
 [659 796]
 [659 797]
 [659 798]
 [659 799]
 [659 800]
 [659 801]
 [659 802]
 [659 803]
 [660 791]
 [660 792]
 [660 793]
 [660 794]
 [660 795]
 [660 796]
 [660 797]
 [660 798]
 [660 799]
 [660 800]
 [660 801]
 [660 802]
 [660 803]
 [661 791]
 [661 792]
 [661 793]
 [661 794]
 [661 795]
 [661 796]
 [661 797]
 [661 798]
 [661 799]
 [661 800]
 [661 801]
 [661 802]
 [661 803]
 [662 791]
 [662 792]
 [662 793]
 [662 794]
 [662 795]
 [662 796]
 [662 797]
 [662 798]
 [662 799]
 [662 800]
 [662 801]
 [662 802]
 [662 803]
 [663 791]
 [663 792]
 [663 793]
 [663 794]
 [663 795]
 [663 796]
 [663 797]
 [663 798]
 [663 799]
 [663 800]
 [663 801]
 [663 802]
 [663 803]
 [664 791]
 [664 792]
 [664 793]
 [664 794]
 [664 795]
 [664 796]
 [664 797]
 [664 798]
 [664 799]
 [664 800]
 [664 801]
 [664 802]
 [664 803]
 [665 791]
 [665 792]
 [665 793]
 [665 794]
 [665 795]
 [665 796]
 [665 797]
 [665 798]
 [665 799]
 [665 800]
 [665 801]
 [665 802]
 [665 803]
 [666 791]
 [666 792]
 [666 793]
 [666 794]
 [666 795]
 [666 796]
 [666 797]
 [666 798]
 [666 799]
 [666 800]
 [666 801]
 [666 802]
 [666 803]
 [667 791]
 [667 792]
 [667 793]
 [667 794]
 [667 795]
 [667 796]
 [667 797]
 [667 798]
 [667 799]
 [667 800]
 [667 801]
 [667 802]
 [667 803]
 [668 791]
 [668 792]
 [668 793]
 [668 794]
 [668 795]
 [668 796]
 [668 797]
 [668 798]
 [668 799]
 [668 800]
 [668 801]
 [668 802]
 [668 803]
 [669 791]
 [669 792]
 [669 793]
 [669 794]
 [669 795]
 [669 796]
 [669 797]
 [669 798]
 [669 799]
 [669 800]
 [669 801]
 [669 802]
 [669 803]
 [670 791]
 [670 792]
 [670 793]
 [670 794]
 [670 795]
 [670 796]
 [670 797]
 [670 798]
 [670 799]
 [670 800]
 [670 801]
 [670 802]
 [670 803]]",0.0,14.668929172241665,1,1.0,169.0,"[[ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]
 [ True  True  True  True  True  True  True  True  True  True  True  True
   True]]",14.966629547095765,14.966629547095765,0.7853981633974483,48.0,1.0,0.9217520112095053,1.0,
Triángulo,5141.0,"(752, 1953, 849, 2006)","(800.0, 1979.0)",5141.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[ 752 1953]
 [ 752 1954]
 [ 752 1955]
 ...
 [ 848 2003]
 [ 848 2004]
 [ 848 2005]]",0.8375742428256123,80.90565183893813,1,1.0,5141.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",112.0,61.18823416311342,0.0,296.0,1.0,0.7373506132261288,1.0,
Triángulo,1488.0,"(813, 1492, 861, 1523)","(836.5, 1507.0)",1488.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]","[[ 813 1492]
 [ 813 1493]
 [ 813 1494]
 ...
 [ 860 1520]
 [ 860 1521]
 [ 860 1522]]",0.7636441644510421,43.52677845379694,1,1.0,1488.0,"[[ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 ...
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]
 [ True  True  True ...  True  True  True]]",55.41359640617694,35.77708763999664,0.0,154.0,1.0,0.7884449095195837,1.0,
